,song,singer,id,url,preview_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
2574,The Glow,The Microphones,4pbEwQiDjPln3oYlijXuOE,https://open.spotify.com/track/4pbEwQiDjPln3oYlijXuOE,,0.201,0.718,7.0,-9.821,1.0,0.0657,0.395,0.789,0.135,0.159,149.734,audio_features,4pbEwQiDjPln3oYlijXuOE,spotify:track:4pbEwQiDjPln3oYlijXuOE,https://api.spotify.com/v1/tracks/4pbEwQiDjPln3oYlijXuOE,https://api.spotify.com/v1/audio-analysis/4pbEwQiDjPln3oYlijXuOE,316640.0,4.0,False,9
2575,Legend Has It ,Run the Jewels,7satW8tFLasyZbftvrWFBP,https://open.spotify.com/track/7satW8tFLasyZbftvrWFBP,,0.827,0.575,7.0,-6.769,1.0,0.253,0.0243,0.0,0.0942,0.467,120.97,audio_features,7satW8tFLasyZbftvrWFBP,spotify:track:7satW8tFLasyZbftvrWFBP,https://api.spotify.com/v1/tracks/7satW8tFLasyZbftvrWFBP,https://api.spotify.com/v1/audio-analysis/7satW8tFLasyZbftvrWFBP,205867.0,4.0,False,5
2576,In 2 Deep,Damian Marley,2pyWjXDWuSAuuiwRlANiA3,https://open.spotify.com/track/2pyWjXDWuSAuuiwRlANiA3,,0.88,0.736,8.0,-7.72,1.0,0.163,0.0249,0.0,0.101,0.852,113.011,audio_features,2pyWjXDWuSAuuiwRlANiA3,spotify:track:2pyWjXDWuSAuuiwRlANiA3,https://api.spotify.com/v1/tracks/2pyWjXDWuSAuuiwRlANiA3,https://api.spotify.com/v1/audio-analysis/2pyWjXDWuSAuuiwRlANiA3,284640.0,4.0,False,5
2577,"Baby, One More Time",Britney Spears ,3MjUtNVVq3C8Fn0MP3zhXa,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa,,0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,211067.0,4.0,False,6
2579,Goddbye For Now,John Davis,15E28j3LY4jl0aPMiHjuOv,https://open.spotify.com/track/15E28j3LY4jl0aPMiHjuOv,,0.552,0.406,9.0,-13.826,1.0,0.444,0.851,0.05,0.331,0.607,97.115,audio_features,15E28j3LY4jl0aPMiHjuOv,spotify:track:15E28j3LY4jl0aPMiHjuOv,https://api.spotify.com/v1/tracks/15E28j3LY4jl0aPMiHjuOv,https://api.spotify.com/v1/audio-analysis/15E28j3LY4jl0aPMiHjuOv,142133.0,3.0,False,10
2580,Cranford: Permission to Propose,Carl Davis,3g7Mj2qSrtdMup8R480Jf9,https://open.spotify.com/track/3g7Mj2qSrtdMup8R480Jf9,,0.0764,0.165,11.0,-15.228,1.0,0.0426,0.98,0.891,0.126,0.0366,79.71,audio_features,3g7Mj2qSrtdMup8R480Jf9,spotify:track:3g7Mj2qSrtdMup8R480Jf9,https://api.spotify.com/v1/tracks/3g7Mj2qSrtdMup8R480Jf9,https://api.spotify.com/v1/audio-analysis/3g7Mj2qSrtdMup8R480Jf9,202160.0,5.0,False,12
2581,The Rose The Vehicle Of Miss High Heels,To Live & Shave In L.A.,2cqOF9aiOuvZgrdoe4ZhN4,https://open.spotify.com/track/2cqOF9aiOuvZgrdoe4ZhN4,,0.207,0.845,1.0,-5.919,1.0,0.18,0.452,0.0,0.337,0.24,90.857,audio_features,2cqOF9aiOuvZgrdoe4ZhN4,spotify:track:2cqOF9aiOuvZgrdoe4ZhN4,https://api.spotify.com/v1/tracks/2cqOF9aiOuvZgrdoe4ZhN4,https://api.spotify.com/v1/audio-analysis/2cqOF9aiOuvZgrdoe4ZhN4,274667.0,3.0,False,10
2582,Waterfalls,TLC ,6qspW4YKycviDFjHBOaqUY,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY,,0.769,0.505,1.0,-7.345,1.0,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,audio_features,6qspW4YKycviDFjHBOaqUY,spotify:track:6qspW4YKycviDFjHBOaqUY,https://api.spotify.com/v1/tracks/6qspW4YKycviDFjHBOaqUY,https://api.spotify.com/v1/audio-analysis/6qspW4YKycviDFjHBOaqUY,279507.0,4.0,False,3
2583,Hombre Amargado,Speedbuggy USA,15xNZGhYDQT9yoZXVCm12U,https://open.spotify.com/track/15xNZGhYDQT9yoZXVCm12U,,0.522,0.931,0.0,-5.203,1.0,0.0374,0.0254,9.29e-05,0.371,0.839,160.14,audio_features,15xNZGhYDQT9yoZXVCm12U,spotify:track:15xNZGhYDQT9yoZXVCm12U,https://api.spotify.com/v1/tracks/15xNZGhYDQT9yoZXVCm12U,https://api.spotify.com/v1/audio-analysis/15xNZGhYDQT9yoZXVCm12U,239520.0,4.0,False,3
2584,My Girls,Animal Collective,2gE0khQ948RYQOeTgCUL2a,https://open.spotify.com/track/2gE0khQ948RYQOeTgCUL2a,,0.508,0.953,4.0,-6.031,0.0,0.0806,0.256,0.0445,0.929,0.555,119.973,audio_features,2gE0khQ948RYQOeTgCUL2a,spotify:track:2gE0khQ948RYQOeTgCUL2a,https://api.spotify.com/v1/tracks/2gE0khQ948RYQOeTgCUL2a,https://api.spotify.com/v1/audio-analysis/2gE0khQ948RYQOeTgCUL2a,340787.0,4.0,False,4
2586,Ave Maria Schubert,Terry Muska,6foCnJorjlxfYL0TAdVeGO,https://open.spotify.com/track/6foCnJorjlxfYL0TAdVeGO,,0.488,0.136,0.0,-14.807,1.0,0.0432,0.985,0.895,0.118,0.398,87.292,audio_features,6foCnJorjlxfYL0TAdVeGO,spotify:track:6foCnJorjlxfYL0TAdVeGO,https://api.spotify.com/v1/tracks/6foCnJorjlxfYL0TAdVeGO,https://api.spotify.com/v1/audio-analysis/6foCnJorjlxfYL0TAdVeGO,132680.0,3.0,False,10
2587,That s Where You Re Wrong ,Daryle Singletary,1fd5ba1uqY6RWFsuijeGl6,https://open.spotify.com/track/1fd5ba1uqY6RWFsuijeGl6,,0.514,0.4,9.0,-6.847,1.0,0.0247,0.132,1.24e-05,0.105,0.245,144.257,audio_features,1fd5ba1uqY6RWFsuijeGl6,spotify:track:1fd5ba1uqY6RWFsuijeGl6,https://api.spotify.com/v1/tracks/1fd5ba1uqY6RWFsuijeGl6,https://api.spotify.com/v1/audio-analysis/1fd5ba1uqY6RWFsuijeGl6,209600.0,4.0,False,9
2588,White Dress,Object,0cTcOW86w6GxMcASbRI0Zl,https://open.spotify.com/track/0cTcOW86w6GxMcASbRI0Zl,,0.393,0.846,8.0,-5.986,1.0,0.0618,2.93e-05,0.801,0.173,0.222,114.018,audio_features,0cTcOW86w6GxMcASbRI0Zl,spotify:track:0cTcOW86w6GxMcASbRI0Zl,https://api.spotify.com/v1/tracks/0cTcOW86w6GxMcASbRI0Zl,https://api.spotify.com/v1/audio-analysis/0cTcOW86w6GxMcASbRI0Zl,237413.0,4.0,False,2
2589,Zydeco Sont Pas Sale,Austin Pitre,2egyinWOdH2DwGM9QwtAmC,https://open.spotify.com/track/2egyinWOdH2DwGM9QwtAmC,,0.569,0.707,7.0,-8.819,1.0,0.0365,0.63,0.676,0.352,0.96,101.196,audio_features,2egyinWOdH2DwGM9QwtAmC,spotify:track:2egyinWOdH2DwGM9QwtAmC,https://api.spotify.com/v1/tracks/2egyinWOdH2DwGM9QwtAmC,https://api.spotify.com/v1/audio-analysis/2egyinWOdH2DwGM9QwtAmC,223093.0,4.0,False,2
2590,Blind Bartimaeus,The Bishops,3IId2FFhepp59TQeH01Cxx,https://open.spotify.com/track/3IId2FFhepp59TQeH01Cxx,,0.435,0.385,7.0,-11.813,1.0,0.0844,0.882,0.0,0.936,0.359,112.357,audio_features,3IId2FFhepp59TQeH01Cxx,spotify:track:3IId2FFhepp59TQeH01Cxx,https://api.spotify.com/v1/tracks/3IId2FFhepp59TQeH01Cxx,https://api.spotify.com/v1/audio-analysis/3IId2FFhepp59TQeH01Cxx,185587.0,3.0,False,4
2591,Am I Wrong?,COM.A,5d2fuUwhuVeiV41Ay9NQfO,https://open.spotify.com/track/5d2fuUwhuVeiV41Ay9NQfO,,0.736,0.239,0.0,-13.583,0.0,0.0341,0.942,0.814,0.932,0.194,142.732,audio_features,5d2fuUwhuVeiV41Ay9NQfO,spotify:track:5d2fuUwhuVeiV41Ay9NQfO,https://api.spotify.com/v1/tracks/5d2fuUwhuVeiV41Ay9NQfO,https://api.spotify.com/v1/audio-analysis/5d2fuUwhuVeiV41Ay9NQfO,77413.0,3.0,False,4
2592,Lo Que Yo Se De Ti,HA-ASH,7v946LeFBdcfPy9FuASkk2,https://open.spotify.com/track/7v946LeFBdcfPy9FuASkk2,,0.425,0.459,7.0,-7.331,0.0,0.0283,0.59,0.0,0.125,0.129,151.866,audio_features,7v946LeFBdcfPy9FuASkk2,spotify:track:7v946LeFBdcfPy9FuASkk2,https://api.spotify.com/v1/tracks/7v946LeFBdcfPy9FuASkk2,https://api.spotify.com/v1/audio-analysis/7v946LeFBdcfPy9FuASkk2,226067.0,4.0,False,7
2593,Wat ben je mooi,Jannes,14NuY31on5zkocL813eQqQ,https://open.spotify.com/track/14NuY31on5zkocL813eQqQ,,0.657,0.791,1.0,-6.444,1.0,0.0267,0.144,0.0,0.234,0.809,80.003,audio_features,14NuY31on5zkocL813eQqQ,spotify:track:14NuY31on5zkocL813eQqQ,https://api.spotify.com/v1/tracks/14NuY31on5zkocL813eQqQ,https://api.spotify.com/v1/audio-analysis/14NuY31on5zkocL813eQqQ,230800.0,4.0,False,11
